JD V-C s1 V-C1 s2 V-C2 s3 C-C1 s4 C-C2 s5 C1-C2 s6
Aperture: 2.00, Filter: V
2453255.29162 99.999 9.999 -0.097 0.006 0.063 0.006 99.999 9.999 99.999 9.999 0.160 0.006
2453255.29200 -0.243 0.006 -0.121 0.006 0.089 0.006 0.122 0.007 0.332 0.006 0.210 0.006
2453255.29520 -0.280 0.006 0.004 0.006 0.142 0.006 0.284 0.006 0.422 0.006 0.138 0.006
2453255.29563 -0.243 0.006 -0.082 0.006 0.075 0.006 0.161 0.006 0.318 0.006 0.157 0.006
2453255.29603 -0.268 0.006 -0.093 0.006 0.054 0.006 0.175 0.006 0.322 0.006 0.147 0.006
2453255.29642 -0.199 0.006 -0.084 0.006 0.149 0.006 0.115 0.007 0.348 0.006 0.233 0.006
2453255.29684 -0.250 0.006 -0.097 0.006 0.129 0.006 0.153 0.007 0.379 0.006 0.226 0.006
2453255.29723 -0.252 0.006 0.006 0.006 0.127 0.006 0.258 0.006 0.379 0.006 0.121 0.006
2453255.29765 -0.254 0.006 -0.038 0.006 0.099 0.006 0.216 0.006 0.353 0.006 0.137 0.006
2453255.29807 99.999 9.999 -0.069 0.006 0.080 0.006 99.999 9.999 99.999 9.999 0.149 0.006
2453255.29848 -0.298 0.006 -0.064 0.006 0.106 0.006 0.234 0.006 0.404 0.006 0.170 0.006
2453255.29887 -0.267 0.006 -0.059 0.006 0.083 0.006 0.208 0.006 0.350 0.006 0.142 0.006
2453255.29928 -0.288 0.006 -0.032 0.006 0.113 0.006 0.256 0.006 0.401 0.006 0.145 0.006
2453255.29971 -0.210 0.006 -0.037 0.006 0.203 0.006 0.173 0.007 0.413 0.006 0.240 0.006
2453255.30015 -0.233 0.006 -0.079 0.006 0.124 0.006 0.154 0.007 0.357 0.006 0.203 0.006
2453255.30057 -0.247 0.006 -0.058 0.006 0.085 0.006 0.189 0.006 0.332 0.006 0.143 0.006
2453255.30097 -0.269 0.006 99.999 9.999 0.069 0.006 99.999 9.999 0.338 0.006 99.999 9.999
2453255.30140 -0.223 0.006 -0.081 0.006 0.107 0.006 0.142 0.006 0.330 0.006 0.188 0.006
2453255.30183 -0.219 0.006 -0.095 0.006 0.135 0.006 0.124 0.007 0.354 0.006 0.230 0.006
2453255.30223 -0.256 0.006 -0.075 0.006 0.069 0.006 0.181 0.006 0.325 0.006 0.144 0.006
2453255.30265 -0.266 0.006 0.006 0.006 0.189 0.006 0.272 0.006 0.455 0.006 0.183 0.006
2453255.30307 -0.273 0.006 -0.061 0.006 0.078 0.006 0.212 0.006 0.351 0.006 0.139 0.006
2453255.30345 -0.229 0.006 -0.034 0.006 0.190 0.006 0.195 0.006 0.419 0.006 0.224 0.006


2453255.30424 -0.223 0.006 -0.021 0.006 0.182 0.006 0.202 0.006 0.405 0.006 0.203 0.006
2453255.30462 -0.265 0.006 -0.002 0.006 0.161 0.006 0.263 0.006 0.426 0.006 0.163 0.006
2453255.30503 -0.244 0.006 -0.016 0.006 0.182 0.006 0.228 0.006 0.426 0.006 0.198 0.006
2453255.30542 -0.219 0.006 -0.047 0.006 0.185 0.006 0.172 0.006 0.404 0.006 0.232 0.006
2453255.30580 -0.245 0.006 -0.098 0.006 0.094 0.006 0.147 0.007 0.339 0.006 0.192 0.006
2453255.30620 -0.254 0.006 -0.079 0.006 99.999 9.999 0.175 0.006 99.999 9.999 99.999 9.999
2453255.30662 -0.249 0.006 -0.049 0.006 0.097 0.006 0.200 0.006 0.346 0.006 0.146 0.006
2453255.30703 -0.222 0.006 -0.004 0.006 0.218 0.006 0.218 0.006 0.440 0.006 0.222 0.006
2453255.30743 -0.198 0.006 -0.083 0.006 0.137 0.006 0.115 0.007 0.335 0.006 0.220 0.006
2453255.30782 -0.194 0.006 -0.005 0.006 0.234 0.006 0.189 0.006 0.428 0.006 0.239 0.006
2453255.30824 -0.228 0.006 0.020 0.006 0.199 0.006 0.248 0.006 0.427 0.006 0.179 0.006
2453255.30863 -0.253 0.006 -0.091 0.006 0.097 0.006 0.162 0.006 0.350 0.006 0.188 0.006
2453255.30904 -0.277 0.006 0.012 0.006 0.137 0.006 0.289 0.006 0.414 0.006 0.125 0.006
2453255.30948 -0.196 0.006 -0.050 0.006 0.145 0.006 0.146 0.007 0.341 0.006 0.195 0.006
2453255.30988 -0.230 0.006 -0.100 0.006 0.121 0.006 0.130 0.007 0.351 0.006 0.221 0.006
2453255.31029 -0.202 0.006 -0.002 0.006 0.185 0.006 0.200 0.006 0.387 0.006 0.187 0.006
2453255.31071 -0.186 0.006 -0.027 0.006 0.162 0.006 0.159 0.007 0.348 0.006 0.189 0.006
2453255.31110 -0.243 0.006 0.028 0.006 0.202 0.006 0.271 0.006 0.445 0.006 0.174 0.006
2453255.31149 -0.261 0.006 -0.043 0.006 0.146 0.006 0.218 0.006 0.407 0.006 0.189 0.006
2453255.31188 -0.258 0.006 -0.010 0.006 0.133 0.006 0.248 0.006 0.391 0.006 0.143 0.006
2453255.31226 -0.291 0.006 -0.035 0.006 0.112 0.006 0.256 0.006 0.403 0.006 0.147 0.006
2453255.31265 -0.245 0.006 -0.001 0.006 0.161 0.006 0.244 0.006 0.406 0.006 0.162 0.006
2453255.31303 -0.211 0.006 -0.085 0.006 0.123 0.006 0.126 0.007 0.334 0.006 0.208 0.006


2453255.31383 -0.241 0.006 0.016 0.006 0.171 0.006 0.257 0.006 0.412 0.006 0.155 0.006
