JD V-C s1 V-C1 s2 V-C2 s3 C-C1 s4 C-C2 s5 C1-C2 s6
Aperture: 2.00, Filter: 12.00
2453236.33009 -1.589 0.014 -0.128 0.007 -0.080 0.007 1.461 0.014 1.509 0.014 0.048 0.007
2453236.33046 -1.578 0.015 -0.118 0.007 -0.075 0.007 1.460 0.015 1.503 0.015 0.043 0.007
2453236.33084 -1.592 0.014 -0.133 0.007 -0.062 0.007 1.459 0.014 1.530 0.014 0.071 0.007
2453236.33122 -1.593 0.015 -0.094 0.007 -0.082 0.007 1.499 0.015 1.511 0.015 0.012 0.007
2453236.33159 -1.535 0.014 -0.074 0.007 -0.039 0.007 1.461 0.014 1.496 0.014 0.035 0.007
2453236.33197 -1.547 0.014 -0.083 0.007 -0.066 0.007 1.464 0.014 1.481 0.014 0.017 0.007
2453236.33234 -1.520 0.014 -0.055 0.007 -0.031 0.007 1.465 0.014 1.489 0.014 0.024 0.007
2453236.33271 -1.531 0.014 -0.061 0.007 -0.032 0.007 1.470 0.014 1.499 0.014 0.029 0.007
2453236.33308 -1.499 0.014 -0.029 0.007 -0.015 0.007 1.470 0.014 1.484 0.014 0.014 0.007
2453236.33346 -1.521 0.014 -0.042 0.007 -0.017 0.007 1.479 0.014 1.504 0.014 0.025 0.007
2453236.33383 -1.541 0.015 -0.069 0.007 -0.003 0.007 1.472 0.015 1.538 0.015 0.066 0.007
2453236.33420 -1.528 0.014 -0.043 0.007 -0.003 0.007 1.485 0.014 1.525 0.014 0.040 0.007
2453236.33457 -1.413 0.014 0.017 0.007 0.030 0.007 1.430 0.014 1.443 0.014 0.013 0.007
2453236.33495 -1.422 0.014 0.027 0.007 0.052 0.007 1.449 0.014 1.474 0.014 0.025 0.007
2453236.33532 -1.436 0.014 0.038 0.007 0.039 0.007 1.474 0.014 1.475 0.014 0.001 0.007
2453236.33569 -1.447 0.014 0.030 0.007 0.055 0.007 1.477 0.014 1.502 0.014 0.025 0.007
2453236.33608 -1.464 0.015 -0.012 0.007 0.035 0.007 1.452 0.015 1.499 0.015 0.047 0.007
2453236.33645 -1.447 0.014 99.999 9.999 0.088 0.007 99.999 9.999 1.535 0.014 99.999 9.999
2453236.33682 -1.428 0.014 0.085 0.007 0.085 0.007 1.513 0.014 1.513 0.014 0.000 0.007
2453236.33719 -1.424 0.014 0.049 0.007 0.093 0.007 1.473 0.014 1.517 0.014 0.044 0.007
2453236.33757 -1.428 0.014 0.040 0.008 0.075 0.008 1.468 0.014 1.503 0.014 0.035 0.007
2453236.33794 -1.384 0.014 0.094 0.008 99.999 9.999 1.478 0.014 99.999 9.999 99.999 9.999
2453236.33831 -1.395 0.014 0.086 0.008 0.128 0.008 1.481 0.014 1.523 0.014 0.042 0.007
2453236.33868 -1.381 0.014 99.999 9.999 0.116 0.008 99.999 9.999 1.497 0.014 99.999 9.999
2453236.33906 -1.406 0.014 0.072 0.008 0.098 0.008 1.478 0.014 1.504 0.014 0.026 0.007
2453236.33943 -1.367 0.014 0.113 0.008 0.134 0.008 1.480 0.014 1.501 0.014 0.021 0.007
2453236.33980 -1.392 0.015 0.077 0.008 0.085 0.008 1.469 0.015 1.477 0.015 0.008 0.007
2453236.34017 -1.387 0.014 0.059 0.008 99.999 9.999 1.446 0.014 99.999 9.999 99.999 9.999
