JD V-C s1 V-C1 s2 V-C2 s3 C-C1 s4 C-C2 s5 C1-C2 s6
Aperture: 2.00, Filter: V


2453263.26479 0.909 0.010 1.088 0.010 1.260 0.010 0.179 0.007 0.351 0.006 0.172 0.006
2453263.26517 99.999 9.999 1.066 0.009 1.272 0.009 99.999 9.999 99.999 9.999 0.206 0.006


2453263.26591 0.887 0.010 1.137 0.010 1.264 0.010 0.250 0.007 0.377 0.006 0.127 0.006
2453263.26628 0.859 0.009 1.085 0.009 1.279 0.009 0.226 0.007 0.420 0.006 0.194 0.006
2453263.26667 0.938 0.010 1.092 0.010 1.277 0.010 0.154 0.007 0.339 0.006 0.185 0.006
2453263.26704 99.999 9.999 1.053 0.010 1.244 0.010 99.999 9.999 99.999 9.999 0.191 0.006
2453263.26741 0.888 0.010 1.081 0.010 1.273 0.010 0.193 0.007 0.385 0.006 0.192 0.006


2453263.26816 0.858 0.009 1.079 0.009 1.291 0.009 0.221 0.007 0.433 0.006 0.212 0.006


2453263.26891 0.916 0.010 1.097 0.010 1.268 0.010 0.181 0.007 0.352 0.006 0.171 0.006
2453263.26928 0.925 0.010 1.131 0.010 1.289 0.010 0.206 0.007 0.364 0.006 0.158 0.006
2453263.26966 0.871 0.009 1.085 0.009 1.260 0.009 0.214 0.007 0.389 0.006 0.175 0.006
2453263.27003 0.905 0.009 1.065 0.009 1.230 0.009 0.160 0.007 0.325 0.006 0.165 0.006
2453263.27041 0.909 0.009 1.072 0.009 1.251 0.009 0.163 0.007 0.342 0.006 0.179 0.006


2453263.27116 0.864 0.010 1.099 0.010 1.236 0.010 0.235 0.007 0.372 0.006 0.137 0.006
2453263.27153 0.925 0.010 1.125 0.010 1.310 0.010 0.200 0.007 0.385 0.006 0.185 0.006
2453263.27191 0.879 0.009 1.070 0.009 1.263 0.009 0.191 0.007 0.384 0.006 0.193 0.006
2453263.27228 99.999 9.999 1.042 0.009 1.251 0.009 99.999 9.999 99.999 9.999 0.209 0.006
2453263.27265 0.891 0.010 1.068 0.010 1.242 0.010 0.177 0.007 0.351 0.006 0.174 0.006
2453263.27303 0.863 0.009 99.999 9.999 1.232 0.009 99.999 9.999 0.369 0.006 99.999 9.999
2453263.27340 99.999 9.999 1.049 0.009 1.238 0.009 99.999 9.999 99.999 9.999 0.189 0.006
2453263.27377 0.928 0.010 1.044 0.010 1.237 0.010 0.116 0.007 0.309 0.006 0.193 0.006
2453263.27416 0.869 0.010 99.999 9.999 1.238 0.010 99.999 9.999 0.369 0.006 99.999 9.999
2453263.27453 0.911 0.009 1.086 0.009 1.252 0.009 0.175 0.007 0.341 0.006 0.166 0.006
